age,gender,SPS,FA1,FA2,FA3,FA4,RAT,BT,CSE,Group,Stage1,Stage2,Num,Stage2_Stage1
19,2,110,3,3,4,3,8,1,23,1,6,7,192,1
19,2,111,5,5,23,16,7,6,35,1,10,39,194,29
21,2,111,5,6,12,10,10,5,35,1,11,22,196,11
21,1,111,3,11,8,5,9,6,30,1,14,13,197,-1
22,1,113,3,9,15,12,8,9,29,1,12,27,198,15
19,2,113,2,7,10,6,6,5,19,1,9,16,199,7
21,2,113,3,3,5,5,4,2,36,1,6,10,200,4
22,1,114,5,11,18,13,7,7,29,1,16,31,201,15
22,2,115,6,8,13,10,6,6,36,1,14,23,202,9
18,2,115,6,6,11,15,10,6,28,1,12,26,203,14
22,2,115,9,14,14,13,6,4,32,1,23,27,204,4
22,2,116,7,9,14,16,4,4,33,1,16,30,205,14
20,2,116,5,3,10,7,5,7,31,1,8,17,206,9
19,2,116,3,7,8,6,5,4,23,1,10,14,207,4
21,2,117,4,7,10,8,6,4,34,1,11,18,208,7
19,2,117,7,3,13,4,11,2,28,1,10,17,209,7
20,2,117,8,8,16,8,3,7,42,1,16,24,210,8
18,2,118,4,4,6,2,3,2,30,1,8,8,211,0
21,2,121,5,8,10,9,6,1,34,1,13,19,212,6
21,2,124,2,4,6,4,2,3,35,1,6,10,213,4
19,2,124,4,14,9,10,8,4,16,1,18,19,214,1
20,2,126,8,12,6,14,0,6,42,1,20,20,215,0
19,2,128,11,7,18,7,7,5,35,1,18,25,216,7
,,,,,,,,,,,12.31428571,21.65714286,,
