Num,Age,gender,SPS1,SPS2,SPS3,SPS4,SPS5,SPS6,SPS7,SPS8,SPS9,SPS10,SPS11,SPS12,SPS13,SPS14,SPS15,SPS16,SPS17,SPS18,SPS19,SPS20,SPS21,SPS22,SPS23,SPS24,SPS25,SPS26,SPS27
75,2,2,3,4,4,3,5,3,4,3,5,5,5,4,4,5,4,5,5,3,5,3,5,4,4,4,4,5,5
76,5,1,4,5,4,2,5,4,4,5,5,5,5,4,2,4,4,4,4,1,3,4,4,5,3,3,4,5,5
77,1,2,3,5,1,3,2,1,4,2,5,5,3,4,1,2,5,3,3,1,1,3,1,5,3,2,2,2,2
78,4,2,4,5,5,2,5,2,4,5,4,4,3,5,2,5,3,5,5,5,5,5,5,4,5,5,5,3,2
79,2,2,3,3,3,2,4,2,4,5,4,4,5,4,3,4,3,4,4,3,4,3,3,3,4,3,4,4,4
80,3,2,4,3,5,4,5,3,5,5,4,5,3,3,3,4,4,5,5,3,4,5,4,4,4,5,5,3,1
81,1,2,2,4,3,2,5,2,1,3,5,3,1,4,2,5,2,5,4,5,2,1,3,2,2,3,3,5,2
82,4,2,5,4,5,4,5,3,5,5,3,5,5,3,5,4,5,5,4,1,3,2,4,1,3,5,4,5,5
83,3,2,4,5,4,2,4,1,2,4,5,4,5,5,3,5,4,5,5,1,4,5,3,5,4,2,1,2,3
84,4,2,3,3,4,4,5,5,3,4,5,5,4,4,3,4,3,5,4,2,4,4,4,3,4,5,5,3,4
85,2,2,2,4,2,2,1,1,3,4,5,2,4,5,2,2,4,4,5,4,4,4,2,5,4,4,4,4,1
86,2,2,3,2,2,2,1,4,3,4,4,4,4,5,2,4,4,4,4,5,3,4,3,4,4,4,4,4,4
87,1,1,4,5,2,5,5,4,1,5,5,5,5,2,2,2,2,5,5,1,5,2,5,5,5,5,5,2,5
88,1,1,4,4,5,3,5,3,2,4,4,5,5,4,4,5,4,5,5,3,5,3,4,4,5,5,4,5,5
89,4,2,4,5,4,4,2,2,3,5,4,5,5,5,3,4,4,4,4,2,4,5,4,5,3,4,4,5,4
90,1,2,5,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,5,1,5,5,5,5,2,3
91,3,2,4,2,5,3,5,3,4,4,5,5,3,5,2,4,4,5,4,3,5,4,5,5,5,4,5,3,2
92,3,1,4,3,4,1,4,2,1,2,2,4,2,4,2,5,4,5,5,1,4,2,2,3,5,3,2,4,1
93,4,1,2,4,2,5,5,3,4,5,5,5,5,5,4,5,4,5,5,5,3,4,3,3,3,1,4,5,2
94,5,1,4,4,3,3,5,3,4,4,5,5,4,4,2,2,5,3,2,2,2,2,2,4,2,4,4,2,4
95,2,1,4,5,4,4,5,4,2,5,5,4,5,5,5,5,2,4,5,1,5,1,4,4,4,3,4,5,5
96,4,2,3,2,5,3,5,5,5,5,5,4,5,3,3,4,4,5,5,1,4,5,4,3,5,3,5,3,5
97,4,2,4,4,3,3,5,1,3,4,4,5,4,5,2,4,4,4,4,4,4,5,4,5,2,4,4,2,2
98,2,2,4,3,4,2,5,3,4,4,5,5,4,3,3,5,2,4,4,4,4,4,3,4,2,2,3,4,4
99,3,2,4,4,5,4,4,4,3,4,4,5,4,4,2,5,2,5,5,1,4,4,4,4,3,3,3,3,4
100,4,2,4,4,3,2,5,4,5,4,5,4,5,5,3,5,5,5,5,2,5,2,4,3,5,1,5,5,5
101,4,2,5,4,5,3,4,3,4,5,4,5,5,5,3,4,5,4,4,2,4,5,3,4,4,5,5,4,5
102,8,2,3,4,4,3,4,2,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,2
103,5,2,3,3,1,5,5,2,5,5,5,5,5,5,4,5,5,5,5,1,5,5,4,5,5,5,5,1,1
104,2,2,2,4,1,3,3,2,2,5,4,5,4,3,1,2,4,2,3,3,2,2,2,5,2,2,4,2,2
105,3,2,3,4,4,4,4,2,4,4,4,4,5,4,4,4,4,4,3,2,2,3,2,4,2,4,4,4,5
106,5,2,2,1,4,2,4,3,4,5,4,5,2,4,3,4,4,5,3,1,3,4,5,4,4,5,4,2,5
107,4,1,3,4,5,5,5,1,3,5,5,4,4,5,4,5,3,4,4,2,5,1,5,4,3,3,5,4,5
108,3,2,4,4,4,5,5,2,3,5,5,5,4,3,4,5,3,5,4,4,2,3,3,5,4,2,5,4,2
109,3,2,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,3,4,5,3,5,5,5,5,4,5,4,4
110,2,2,3,2,4,4,5,5,3,5,5,3,5,4,3,5,4,4,5,1,3,3,5,5,4,5,5,4,5
111,2,2,4,4,5,4,5,3,4,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5
112,4,2,3,5,4,5,5,5,4,3,5,5,5,2,4,2,2,4,1,2,3,2,2,5,3,1,5,2,1
113,4,2,4,4,4,3,5,2,3,4,5,5,5,5,3,5,3,4,4,2,3,3,3,3,4,3,5,4,1
114,5,1,3,4,2,2,4,3,5,4,4,4,2,3,2,1,4,2,2,4,4,4,2,4,2,3,4,2,1
115,4,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,3,4,3,3,3,3,3
116,4,2,4,4,3,1,5,1,3,4,4,4,5,4,2,4,4,3,4,1,2,3,3,4,3,1,2,4,4
117,4,2,5,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5
118,3,2,3,4,5,4,4,5,4,5,4,4,4,4,4,4,2,4,4,1,4,5,4,4,4,4,4,5,4
119,3,2,5,5,3,5,5,1,1,5,5,5,5,5,3,4,5,3,5,5,5,5,5,5,3,5,5,5,3
120,4,2,4,3,4,5,5,4,5,4,5,5,4,4,4,3,5,4,5,2,4,5,3,5,3,3,4,3,2
121,2,2,5,4,4,4,5,2,3,5,4,2,4,5,5,5,2,5,5,5,5,4,5,3,5,3,5,5,4
122,2,2,5,5,5,4,2,5,4,5,3,5,4,5,4,4,4,5,3,5,3,5,4,5,3,2,3,3,5
123,2,2,5,4,4,4,4,3,4,5,5,4,5,4,4,4,4,4,4,2,4,2,3,4,4,3,4,4,3
124,4,2,4,4,4,3,5,4,2,4,4,2,5,3,4,4,3,4,3,4,5,3,4,2,5,3,3,5,5
125,3,1,4,3,3,2,3,4,2,5,3,5,4,4,1,2,4,3,4,4,2,4,3,5,3,2,4,3,1
126,3,2,3,3,2,2,3,2,4,3,4,4,3,4,2,5,3,5,4,2,3,4,4,4,4,2,4,4,4
127,4,2,4,4,5,2,5,1,2,2,3,4,5,4,5,5,4,5,3,3,4,2,4,4,4,2,3,3,3
128,1,2,4,4,4,3,5,1,3,5,5,5,3,4,3,5,5,4,4,2,3,2,4,1,4,4,4,3,4
129,2,2,2,2,4,2,4,4,2,4,4,3,4,4,3,5,5,4,4,4,4,4,4,4,4,2,5,5,4
130,2,2,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
131,3,1,4,5,5,3,5,2,5,5,4,5,4,5,5,5,3,5,4,5,4,2,4,5,3,4,5,5,4
132,3,2,4,3,4,2,5,5,5,4,5,5,5,4,5,5,3,5,3,4,5,3,4,3,5,3,5,4,4
133,2,2,2,3,2,2,1,2,2,1,5,4,4,3,2,5,5,4,1,4,1,3,3,3,3,3,5,2,2
134,3,2,4,2,4,3,5,1,1,3,5,4,5,4,3,5,5,5,5,1,1,5,4,4,3,1,3,5,2
135,4,2,4,4,4,4,5,4,4,4,4,5,4,5,4,4,3,3,4,4,3,3,4,5,3,3,3,4,4
